RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_PUPIL	TRIAL_INDEX	button_RT	button_pressed	combined_cs_status	comp_q	cs_word	cs_word_char_position	cs_word_length	cs_word_or_combo	cs_word_or_combo_char_position	cs_word_or_combo_length	cs_word_or_combo_word_position	cs_word_word_position	cword	cword_char_position	cword_length	cword_word_position	e_status	exp_button	exp_response	frame_cword_space	item_num	lang	list	p_status	pre_cs_word_frame_space	pre_cs_word_or_combo_space	pre_cword_frame_space	response_accuracy	sent	sent_length_words	taboo_status	SINGLE_FIXATION_DURATION	FIRST_FIXATION_DURATION	GAZE_DURATION	REGRESSION_PATH_DURATION	REREADING_DURATION	TOTAL_DURATION	FIRST_PASS_REGRESSION	FIRST_PAST_FIXATION	Lang_order	DELE	MELICET	dominance	FIRST_FIXATION_DURATION_SC	TOTAL_DURATION_SC	GAZE_DURATION_SC	dominance_SC	dom_cat	MeanTD	MeanGD	MeanFFD	sdTD	sdGD	sdFFD
3	FALSE	620	6	1764	Up	n	Did they hurt after jogging?	that	10	4	that	10	4	3	3	knees	19	5	5	e	Up	y	She said that her knees	18	Eng	3	s	She said	She said	She said that her	correct	She said that her knees hurt after running.	8	neut	138	138	138	581	443	356	1	1	E2_SCS2	30	46	0.652173913	-0.511061752	-0.294552161	-0.581991088	-0.689102217	Low Sp Dom	369.7833333	203.2416667	180.8833333	249.156769	134.5354907	111.4569053
3	FALSE	687	15	2585	Down	n	Did this happen when he returned from the lake?	from	18	4	from	18	4	4	4	shit	40	4	9	e	Down	n	"When he returned from the farm, he had shit"	7	Eng	3	s	When he returned	When he returned	"When he returned from the farm, he had"	correct	"When he returned from the farm, he had shit all over his pants."	13	taboo	.	0	0	0	.	0	.	0	E2_SCS2	30	46	0.652173913	-1.44353877	-1.142075675	-1.212455205	-0.689102217	Low Sp Dom	404.7583333	194.275	165.9416667	303.4699048	160.6489969	113.9155146
3	FALSE	678	16	1942	Down	n	Were they in front of the cinema?	there	21	5	there	21	5	5	5	girls	41	5	10	e	Down	n	My friend said that there were a lot of girls	36	Eng	3	s	My friend said that	My friend said that	My friend said that there were a lot of	correct	My friend said that there were a lot of girls in front of the club last night.	17	neut	202	202	202	202	0	202	0	1	E2_SCS2	30	46	0.652173913	-0.078608642	-0.661177501	-0.289601932	-0.689102217	Low Sp Dom	369.7833333	203.2416667	180.8833333	249.156769	134.5354907	111.4569053
3	FALSE	615	17	6434	Down	n	Could she button the jacket?	was	23	3	was	23	3	5	5	shoulders	45	9	10	e	Down	n	The blazer she bought was too small for her shoulders	42	Eng	3	s	The blazer she bought	The blazer she bought	The blazer she bought was too small for her	correct	"The blazer she bought was too small for her shoulders, so she returned it."	14	neut	140	140	140	140	0	140	0	1	E2_SCS2	30	46	0.652173913	-0.497547592	-0.808779911	-0.572853927	-0.689102217	Low Sp Dom	369.7833333	203.2416667	180.8833333	249.156769	134.5354907	111.4569053
3	FALSE	598	18	5015	Up	n	Did he get out of the car?	and	28	3	and	28	3	7	7	airplane	49	8	10	e	Down	n	"He got out of the building and started yelling \airplane\\\"""""	48	Eng	3	s	He got out of the building	He got out of the building	He got out of the building and started yelling	incorrect	"He got out of the building and started yelling \airplane\\ in the middle of a busy street.\"""""	17	neut	224	224	224	224	0	224	0	1	E2_SCS2	30	46	0.652173913	0.070047115	-0.608802453	-0.18909316	-0.689102217	Low Sp Dom	369.7833333	203.2416667	180.8833333	249.156769	134.5354907	111.4569053
3	FALSE	681	8	3359	Down	y	Did the person see the picture on their computer?	picture	19	7	a picture	17	9	4	5	wolf	32	4	8	e	Down	n	Yesterday I saw a picture of a wolf	12	Eng	3	s	Yesterday I saw a	Yesterday I saw	Yesterday I saw a picture of a	correct	Yesterday I saw a picture of a wolf in my cousin's phone.	12	neut	.	0	0	0	.	461	.	0	E2_SCS2	30	46	0.652173913	-1.44353877	-0.044580337	-1.212455205	-0.689102217	Low Sp Dom	369.7833333	203.2416667	180.8833333	249.156769	134.5354907	111.4569053
3	FALSE	706	12	1755	Down	n	Did the person see it on the cupboard?	we	15	2	we	15	2	4	4	pubic hair	45	10	11	e	Down	n	"In the hostel we were staying at, I found a pubic hair"	19	Eng	3	s	In the hostel	In the hostel	"In the hostel we were staying at, I found a"	correct	"In the hostel we were staying at, I found a pubic hair on the bed sheet."	16	taboo	211	211	211	211	0	527	0	1	E2_SCS2	30	46	0.652173913	-0.017794923	0.112544809	-0.248484707	-0.689102217	Low Sp Dom	404.7583333	194.275	165.9416667	303.4699048	160.6489969	113.9155146
3	FALSE	499	18	4569	Up	n	¿El hombre hizo esto en público?	mostró	14	6	mostró	14	6	4	4	arte	24	4	6	e	Up	y	Un hombre le mostró su arte	16	Spa	3	s	Un hombre le	Un hombre le	Un hombre le mostró su	correct	Un hombre le mostró su arte en la calle.	9	neut	106	106	106	106	0	406	0	1	E2_SCS2	30	46	0.652173913	-0.727288307	-0.175517959	-0.728185666	-0.689102217	Low Sp Dom	758.9166667	385.7166667	290.9916667	614.1375395	289.7325972	205.3815672
3	FALSE	578	27	1837	Up	y	¿Estuvo cerca?	would	36	5	I would	34	7	7	8	orgy	58	4	13	e	Up	y	"Si no tuviera tareas para hacer, I would have gone to an orgy"	39	CS	3	s	"Si no tuviera tareas para hacer, I"	"Si no tuviera tareas para hacer,"	"Si no tuviera tareas para hacer, I would have gone to an"	correct	"Si no tuviera tareas para hacer, I would have gone to an orgy that was nearby."	16	taboo	113	113	113	113	0	113	0	1	E2_SCS2	30	46	0.652173913	-0.679988748	-0.87305838	-0.696205602	-0.689102217	Low Sp Dom	354.575	245.9166667	203.8166667	244.1315826	167.5733169	123.2959126
3	FALSE	479	28	2367	Up	n	¿Hubo muchos de ellos?	señaló	29	6	señaló	29	6	6	6	penes	72	5	13	e	Up	y	El guía turístico del museo señaló cómo sus pinturas estaban llenas de penes	5	Spa	3	s	El guía turístico del museo	El guía turístico del museo	El guía turístico del museo señaló cómo sus pinturas estaban llenas de	correct	El guía turístico del museo señaló cómo sus pinturas estaban llenas de penes al comienzo de su carrera.	18	taboo	264	264	264	264	0	483	0	1	E2_SCS2	30	46	0.652173913	0.340330308	0.007794711	-0.006349938	-0.689102217	Low Sp Dom	836.675	403.3916667	302.1916667	575.0767455	306.5644625	201.4757443
3	FALSE	492	32	3098	Up	n	¿Leyó el consejos en línea?	algunos	10	7	algunos	10	7	3	3	discursos	36	9	7	e	Up	y	He leído algunos consejos para dar discursos	34	Spa	3	s	He leído	He leído	He leído algunos consejos para dar	correct	He leído algunos consejos para dar discursos en Internet.	9	neut	0	366	832	832	0	1328	0	1	E2_SCS2	30	46	0.652173913	1.029552452	2.019472717	2.588603819	-0.689102217	Low Sp Dom	758.9166667	385.7166667	290.9916667	614.1375395	289.7325972	205.3815672
3	FALSE	492	34	1179	Down	n	¿Lo estaban vendiendo?	vi	34	2	vi	34	2	6	6	agua	63	4	10	e	Down	n	"Mientras caminaba por el campus, vi que estaban distribuyendo agua"	40	Spa	3	s	"Mientras caminaba por el campus,"	"Mientras caminaba por el campus,"	"Mientras caminaba por el campus, vi que estaban distribuyendo"	correct	"Mientras caminaba por el campus, vi que estaban distribuyendo agua a los estudiantes en la plaza."	16	neut	213	213	213	213	0	213	0	1	E2_SCS2	30	46	0.652173913	-0.004280764	-0.634989977	-0.239347546	-0.689102217	Low Sp Dom	758.9166667	385.7166667	290.9916667	614.1375395	289.7325972	205.3815672
3	FALSE	507	37	2158	Down	n	¿Se le impidió ir a un viaje de negocios?	dijo	9	4	dijo	9	4	3	3	obligaciones	18	12	5	e	Down	n	Su mamá dijo que obligaciones	22	Spa	3	s	Su mamá	Su mamá	Su mamá dijo que	correct	Su mamá dijo que obligaciones le impidió ir al viaje escolar.	11	neut	0	308	506	506	0	938	0	1	E2_SCS2	30	46	0.652173913	0.637641821	1.091005945	1.099246557	-0.689102217	Low Sp Dom	758.9166667	385.7166667	290.9916667	614.1375395	289.7325972	205.3815672
