RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_PUPIL	TRIAL_INDEX	button_RT	button_pressed	combined_cs_status	comp_q	cs_word	cs_word_char_position	cs_word_length	cs_word_or_combo	cs_word_or_combo_char_position	cs_word_or_combo_length	cs_word_or_combo_word_position	cs_word_word_position	cword	cword_char_position	cword_length	cword_word_position	e_status	exp_button	exp_response	frame_cword_space	item_num	lang	list	p_status	pre_cs_word_frame_space	pre_cs_word_or_combo_space	pre_cword_frame_space	response_accuracy	sent	sent_length_words	taboo_status	SINGLE_FIXATION_DURATION	FIRST_FIXATION_DURATION	GAZE_DURATION	REGRESSION_PATH_DURATION	REREADING_DURATION	TOTAL_DURATION	FIRST_PASS_REGRESSION	FIRST_PAST_FIXATION
3	FALSE	610	1	4818	Up	UNDEFINEDnull	¿Los estudiantes son respetuosos?	UNDEFINEDnull	1	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	0	p	Up	y	UNDEFINEDnull	0	Spa	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	correct	Los maestros aseguran que los estudiantes de español los respetan en el salón.	UNDEFINEDnull	UNDEFINEDnull	.	0	0	0	.	0	0	0
3	FALSE	703	2	1956	Down	UNDEFINEDnull	¿Jugaban los niños al voleibol?	UNDEFINEDnull	1	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	0	p	Down	n	UNDEFINEDnull	0	Spa	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	correct	Mi amiga sabe que los chicos fueron al parque para jugar fútbol.	UNDEFINEDnull	UNDEFINEDnull	.	0	0	0	.	0	0	0
3	FALSE	607	3	2425	Up	UNDEFINEDnull	¿Estaban mojados sus pantalones?	UNDEFINEDnull	1	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	0	p	Up	y	UNDEFINEDnull	0	Spa	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	correct	Derramó su bebida en sus pantalones en una fiesta.	UNDEFINEDnull	UNDEFINEDnull	.	0	0	0	.	0	0	0
3	FALSE	580	4	6283	Up	UNDEFINEDnull	¿Está la mujer paseando por el parque?	UNDEFINEDnull	1	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	0	p	Down	n	UNDEFINEDnull	0	Spa	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	incorrect	"Desde el verano pasado, mi jardinero siempre ve a la mujer paseando por la fuente."	UNDEFINEDnull	UNDEFINEDnull	.	0	0	0	.	0	0	0
3	FALSE	533	5	1681	Down	UNDEFINEDnull	¿Su amiga was coming over?	UNDEFINEDnull	1	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	0	p	Down	n	UNDEFINEDnull	0	CS	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	correct	"Tan pronto como entré en la ducha, I washed my hair, my boyfriend was coming over."	UNDEFINEDnull	UNDEFINEDnull	.	0	0	0	.	0	0	0
3	FALSE	622	7	2411	Down	n	¿Alguien escribió en la pared al lado de la iglesia?	somebody	15	8	somebody	15	8	4	4	whore	31	5	6	e	Down	n	"El año pasado somebody wrote ""whore"""	27	CS	3	s	El año pasado	El año pasado	El año pasado somebody wrote	correct	"El año pasado somebody wrote ""whore"" on the wall next to the bank."	13	taboo	323	323	323	323	0	323	0	1
3	FALSE	539	8	2690	Down	.	¿Era su nuevo libro único?	.	1	.	.	.	.	.	.	.	.	.	0	f	Down	n	.	0	Spa	3	s	.	.	.	correct	Su nuevo libro era muy similar a otro libro recién publicado.	.	.	.	0	0	0	.	0	0	0
3	FALSE	550	9	1759	Down	n	¿Era rico después de la universidad?	donó	28	4	donó	28	4	5	5	plasma	33	6	6	e	Down	n	"Después de la universidad, donó plasma"	46	Spa	3	s	"Después de la universidad,"	"Después de la universidad,"	"Después de la universidad, donó"	correct	"Después de la universidad, donó plasma para ganar dinero extra."	10	neut	0	123	123	534	411	302	1	1
3	FALSE	619	10	3819	Up	n	¿Tuvo un trastorno compulsivo?	lavó	16	4	lavó	16	4	4	4	ano	24	3	6	e	Up	y	Mi mejor amigo lavó su ano	17	Spa	3	s	Mi mejor amigo	Mi mejor amigo	Mi mejor amigo lavó su	correct	Mi mejor amigo lavó su ano compulsivamente en la universidad	10	taboo	163	163	163	163	0	1057	0	1
3	FALSE	507	11	1573	Down	.	¿Hubo una fiesta en el departamento?	.	1	.	.	.	.	.	.	.	.	.	0	f	Up	y	.	0	Spa	3	s	.	.	.	incorrect	"El departamento de profesores, del cual Daniela pertenece, le hizo sentir insegura por llegar tarde a una reuni"	.	.	.	0	0	0	.	0	0	0
