"","part_item","RECORDING_SESSION_LABEL.x","word_order","use_rating","exposure_rating","offensiveness_rating","taboo_rating","valence_rating","arousal_rating","imagery_rating","critical_word","taboo_status.x","item_num.x","list.x","RECORDING_SESSION_LABEL.y","CURRENT_FIX_ADJUSTED","CURRENT_FIX_PUPIL","TRIAL_INDEX","button_RT","button_pressed","combined_cs_status","comp_q","cs_word","cs_word_char_position","cs_word_length","cs_word_or_combo","cs_word_or_combo_char_position","cs_word_or_combo_length","cs_word_or_combo_word_position","cs_word_word_position","cword","cword_char_position","cword_length","cword_word_position","e_status","exp_button","exp_response","frame_cword_space","item_num.y","lang","list.y","p_status","pre_cs_word_frame_space","pre_cs_word_or_combo_space","pre_cword_frame_space","response_accuracy","sent","sent_length_words","taboo_status.y","SINGLE_FIXATION_DURATION","FIRST_FIXATION_DURATION","GAZE_DURATION","REGRESSION_PATH_DURATION","REREADING_DURATION","TOTAL_DURATION","FIRST_PASS_REGRESSION","FIRST_PAST_FIXATION","Lang_order","DELE","MELICET","dominance","dom_cat","MeanTD","MeanGD","MeanFFD","sdTD","sdGD","sdFFD","seTD","seGD","seFFD"
"1","10_1",10,17,7,4,1,3,4,1,5,"stiff","neut",1,4,10,FALSE,887,29,3789,"Up","n","Did this happen after the training?","was",16,3,"was",16,3,3,3,"stiff",25,5,5,"e","Up","y","His girlfriend was very stiff",1,"Eng",4,"s","His girlfriend","His girlfriend","His girlfriend was very","correct","His girlfriend was very stiff after her usual workout in the morning.",12,"neut",251,251,251,251,0,251,"0",1,"E1_SCS1",44,44,1,"High Sp Dom",368.0549451,259.5384615,224.3076923,221.9729394,136.1135398,93.80744963,156.9585707,96.24680703,66.33188376
"2","10_10",10,4,8,8,1,8,5,6,8,"balls","taboo",10,4,10,FALSE,1026,81,783,"Up","n","¿Tenía pecas?","that",18,4,"that",18,4,5,5,"balls",50,5,12,"e","Up","y","Mi amigo me dijo that he has had freckles on his balls",10,"CS",4,"s","Mi amigo me dijo","Mi amigo me dijo","Mi amigo me dijo that he has had freckles on his","correct","Mi amigo me dijo that he has had freckles on his balls since he was a child.",17,"taboo",240,240,240,240,0,240,"0",1,"E1_SCS1",44,44,1,"High Sp Dom",487.7228916,303.8795181,254.4819277,305.6617896,157.5583823,107.3017584,216.1355241,111.4106006,75.87380099
"3","10_14",10,22,9,7,1,8,9,9,9,"nipple","taboo",14,4,10,FALSE,812,41,1230,"Up","n","Did her baby hurt her?","bit",10,3,"bit",10,3,3,3,"nipple",18,6,5,"e","Up","y","Her baby bit her nipple",14,"Eng",4,"s","Her baby","Her baby","Her baby bit her","correct","Her baby bit her nipple and drew blood.",8,"taboo",112,112,112,1048,936,112,"1",1,"E1_SCS1",44,44,1,"High Sp Dom",408.3956044,298.2967033,245.021978,245.8860567,142.9286142,89.44308905,173.8676981,101.0657924,63.2458148
"4","10_16",10,6,9,9,1,9,4,9,9,"dick","taboo",16,4,10,FALSE,835,97,914,"Up","n","¿El hombre hizo esto en público?","showed",11,6,"showed",11,6,3,3,"dick",26,4,6,"e","Up","y","Un hombre showed her his dick",16,"CS",4,"s","Un hombre","Un hombre","Un hombre showed her his","correct","Un hombre showed her his dick in the street.",9,"taboo",363,363,363,363,0,363,".",1,"E1_SCS1",44,44,1,"High Sp Dom",487.7228916,303.8795181,254.4819277,305.6617896,157.5583823,107.3017584,216.1355241,111.4106006,75.87380099
"5","10_19",10,23,9,7,1,1,9,5,8,"quarter","neut",19,4,10,FALSE,713,51,1856,"Down","n","Did the person see it on the cupboard?","we",15,2,"we",15,2,4,4,"quarter",45,7,11,"e","Down","n","In the hostel we were staying at, I found a quarter",19,"Eng",4,"s","In the hostel","In the hostel","In the hostel we were staying at, I found a","correct","In the hostel we were staying at, I found a quarter on the bed sheet.",15,"neut",140,140,140,140,0,140,"0",1,"E1_SCS1",44,44,1,"High Sp Dom",368.0549451,259.5384615,224.3076923,221.9729394,136.1135398,93.80744963,156.9585707,96.24680703,66.33188376
"6","10_2",10,18,3,2,9,9,1,1,7,"incest","taboo",2,4,10,FALSE,861,34,1249,"Down","n","Is this a problem in cities?","that",18,4,"that",18,4,4,4,"incest",23,6,5,"e","Down","n","I read somewhere that incest",2,"Eng",4,"s","I read somewhere","I read somewhere","I read somewhere that","correct","I read somewhere that incest is a big problem in small communities.",12,"taboo",393,393,393,393,0,393,"0",1,"E1_SCS1",44,44,1,"High Sp Dom",408.3956044,298.2967033,245.021978,245.8860567,142.9286142,89.44308905,173.8676981,101.0657924,63.2458148
"7","10_20",10,24,8,9,1,9,9,9,9,"sex","taboo",20,4,10,FALSE,871,26,3783,"Up","n","Do children start talking about this very early?","start",6,5,"start",6,5,2,2,"sex",26,3,5,"e","Up","y","Kids start talking about sex",20,"Eng",4,"s","Kids","Kids","Kids start talking about","correct","Kids start talking about sex very early these days.",9,"taboo",272,272,272,272,0,272,"0",1,"E1_SCS1",44,44,1,"High Sp Dom",408.3956044,298.2967033,245.021978,245.8860567,142.9286142,89.44308905,173.8676981,101.0657924,63.2458148
"8","10_21",10,7,9,9,1,2,7,7,7,"Dude","neut",21,4,10,FALSE,1040,73,1120,"Down","n","¿Estaban tranquilos?","and",15,3,"and",15,3,3,3,"Dude",29,4,5,"e","Down","n","Se detuvieron and shouted: \Dude""",21,"CS",4,"s","Se detuvieron","Se detuvieron","Se detuvieron and shouted:","correct","Se detuvieron and shouted: \Dude, move out of the way\"" \"".\""""",10,"neut",176,176,176,176,0,176,"0",1,"E1_SCS1",44,44,1,"High Sp Dom",394.1785714,272.9642857,231.797619,238.7911403,118.8763098,77.67398345,168.8508346,84.05824475,54.92380042
"9","10_25",10,25,2,7,1,3,4,1,9,"cigarette","neut",25,4,10,FALSE,715,9,2444,"Up","n","Did Maria's mom find it in Maria's private space?","found",13,5,"found",13,5,3,3,"cigarette",21,9,5,"e","Up","y","Maria's mom found a cigarette",25,"Eng",4,"s","Maria's mom","Maria's mom","Maria's mom found a","correct","Maria's mom found a cigarette in her room.",8,"neut",200,200,200,200,0,200,"0",1,"E1_SCS1",44,44,1,"High Sp Dom",368.0549451,259.5384615,224.3076923,221.9729394,136.1135398,93.80744963,156.9585707,96.24680703,66.33188376
"10","10_26",10,26,5,7,1,9,4,7,9,"pornography","taboo",26,4,10,FALSE,827,43,2166,"Up","n","Were they by the refrigerator?","talking",14,7,"talking",14,7,4,4,"pornography",28,11,6,"e","Up","y","I heard them talking about pornography",26,"Eng",4,"s","I heard them","I heard them","I heard them talking about","correct","I heard them talking about pornography by the refrigerator.",9,"taboo",193,193,193,193,0,193,"0",1,"E1_SCS1",44,44,1,"High Sp Dom",408.3956044,298.2967033,245.021978,245.8860567,142.9286142,89.44308905,173.8676981,101.0657924,63.2458148
