RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_PUPIL	TRIAL_INDEX	button_RT	button_pressed	combined_cs_status	comp_q	cs_word	cs_word_char_position	cs_word_length	cs_word_or_combo	cs_word_or_combo_char_position	cs_word_or_combo_length	cs_word_or_combo_word_position	cs_word_word_position	cword	cword_char_position	cword_length	cword_word_position	e_status	exp_button	exp_response	frame_cword_space	item_num	lang	list	p_status	pre_cs_word_frame_space	pre_cs_word_or_combo_space	pre_cword_frame_space	response_accuracy	sent	sent_length_words	taboo_status	SINGLE_FIXATION_DURATION	FIRST_FIXATION_DURATION	GAZE_DURATION	REGRESSION_PATH_DURATION	REREADING_DURATION	TOTAL_DURATION	FIRST_PASS_REGRESSION	FIRST_PAST_FIXATION
3	FALSE	809	1	2253	Up	UNDEFINEDnull	Did Marc apply for the job?	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	0	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	0	p	Up	y	UNDEFINEDnull	0	Eng	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	correct	Marc applied for the job even though he doesn't fully satisfy the criteria.	UNDEFINEDnull	UNDEFINEDnull	.	0	0	0	.	0	0	0
3	FALSE	588	2	1600	Up	UNDEFINEDnull	Are phone calls better now?	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	0	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	0	p	Up	y	UNDEFINEDnull	0	Eng	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	correct	The new towers are improving phone calls in the area.	UNDEFINEDnull	UNDEFINEDnull	.	0	0	0	.	0	0	0
3	FALSE	673	3	2054	Down	UNDEFINEDnull	Is their father carefree?	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	0	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	0	p	Down	n	UNDEFINEDnull	0	Eng	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	correct	My dad is worried because his co-worker is frequently sick.	UNDEFINEDnull	UNDEFINEDnull	.	0	0	0	.	0	0	0
3	FALSE	593	4	5601	Down	UNDEFINEDnull	Was the person thinking about their grades?	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	0	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	0	p	Up	y	UNDEFINEDnull	0	Eng	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	incorrect	I locked myself out yesterday because I was thinking about my exams.	UNDEFINEDnull	UNDEFINEDnull	.	0	0	0	.	0	0	0
3	FALSE	620	6	1764	Up	n	Did they hurt after jogging?	that	10	4	that	10	4	3	3	knees	19	5	5	e	Up	y	She said that her knees	18	Eng	3	s	She said	She said	She said that her	correct	She said that her knees hurt after running.	8	neut	138	138	138	581	443	356	1	1
3	FALSE	620	7	5783	Down	.	Do her parents criticize the person's mother?	.	.	.	.	.	.	.	0	.	.	.	0	f	Down	n	.	0	Eng	3	s	.	.	.	correct	"My mom doesn't like her aunt and uncle, 'cause they always criticize her when they come for a visit."	.	.	.	0	0	0	.	0	0	0
3	FALSE	681	8	3359	Down	y	Did the person see the picture on their computer?	picture	19	7	a picture	17	9	4	5	wolf	32	4	8	e	Down	n	Yesterday I saw a picture of a wolf	12	Eng	3	s	Yesterday I saw a	Yesterday I saw	Yesterday I saw a picture of a	correct	Yesterday I saw a picture of a wolf in my cousin's phone.	12	neut	.	0	0	0	.	461	.	0
3	FALSE	617	9	1957	Up	.	Do students gain weight in college?	.	.	.	.	.	.	7	0	.	.	.	0	f	Up	y	.	0	Eng	3	s	.	.	.	correct	It∆s confirmed that students gain weight during their freshman year in college.	.	.	.	0	0	0	.	0	0	0
3	FALSE	652	10	1836	Up	.	Was the nurse great at her job?	.	.	.	.	.	.	.	0	.	.	.	0	f	Up	y	.	0	Eng	3	s	.	.	.	correct	The nurse deserves credit for saving the patient's life.	.	.	.	0	0	0	.	0	0	0
3	FALSE	692	11	3232	Down	.	Is the ticket in the living room?	.	.	.	.	.	.	4	0	.	.	.	0	f	Down	n	.	0	Eng	3	s	.	.	.	correct	"Don't lose the piece of paper on the kitchen table, it's a lottery ticket."	.	.	.	0	0	0	.	0	0	0
