RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_PUPIL	TRIAL_INDEX	button_RT	button_pressed	combined_cs_status	comp_q	cs_word	cs_word_char_position	cs_word_length	cs_word_or_combo	cs_word_or_combo_char_position	cs_word_or_combo_length	cs_word_or_combo_word_position	cs_word_word_position	cword	cword_char_position	cword_length	cword_word_position	e_status	exp_button	exp_response	frame_cword_space	item_num	lang	list.x	p_status	pre_cs_word_frame_space	pre_cs_word_or_combo_space	pre_cword_frame_space	response_accuracy	sent	sent_length_words	taboo_status	SINGLE_FIXATION_DURATION	FIRST_FIXATION_DURATION	GAZE_DURATION	REGRESSION_PATH_DURATION	REREADING_DURATION	TOTAL_DURATION	FIRST_PASS_REGRESSION	FIRST_PAST_FIXATION	list.y	Lang_order	DELE	MELICET	dominance	FIRST_FIXATION_DURATION_SC	TOTAL_DURATION_SC	GAZE_DURATION_SC	dominance_SC	dom_cat
3	FALSE	620	6	1764	Up	n	Did they hurt after jogging?	that	10	4	that	10	4	3	3	knees	19	5	1	e	Up	y	She said that her knees	18	Eng	3	s	She said	She said	She said that her	correct	She said that her knees hurt after running.	8	neut	160	160	160	160	0	506	0	1	3	E2_SCS2	30	46	0.652173913	0.209581575	0.462979933	-0.087498508	-0.616165301	L
3	FALSE	681	8	3359	Down	y	Did the person see the picture on their computer?	picture	19	7	a picture	17	9	4	5	wolf	32	4	1	e	Down	n	Yesterday I saw a picture of a wolf	12	Eng	3	s	Yesterday I saw a	Yesterday I saw	Yesterday I saw a picture of a	correct	Yesterday I saw a picture of a wolf in my cousin's phone.	12	neut	191	191	191	191	0	191	0	1	3	E2_SCS2	30	46	0.652173913	0.410996461	-0.342689074	0.047491414	-0.616165301	L
3	FALSE	706	12	1755	Down	n	Did the person see it on the cupboard?	we	15	2	we	15	2	4	4	pubic hair	45	10	1	e	Down	n	"In the hostel we were staying at, I found a pubic hair"	19	Eng	3	s	In the hostel	In the hostel	"In the hostel we were staying at, I found a"	correct	"In the hostel we were staying at, I found a pubic hair on the bed sheet."	16	taboo	174	174	174	174	0	174	0	1	3	E2_SCS2	30	46	0.652173913	0.300543136	-0.386169624	-0.026535317	-0.616165301	L
3	FALSE	687	15	2585	Down	n	Did this happen when he returned from the lake?	from	18	4	from	18	4	4	4	shit	40	4	1	e	Down	n	"When he returned from the farm, he had shit"	7	Eng	3	s	When he returned	When he returned	"When he returned from the farm, he had"	correct	"When he returned from the farm, he had shit all over his pants."	13	taboo	218	218	218	218	0	218	0	1	3	E2_SCS2	30	46	0.652173913	0.586422331	-0.273631731	0.165063282	-0.616165301	L
3	FALSE	678	16	1942	Down	n	Were they in front of the cinema?	there	21	5	there	21	5	5	5	girls	41	5	1	e	Down	n	My friend said that there were a lot of girls	36	Eng	3	s	My friend said that	My friend said that	My friend said that there were a lot of	correct	My friend said that there were a lot of girls in front of the club last night.	17	neut	473	473	473	473	0	473	0	1	3	E2_SCS2	30	46	0.652173913	2.243222206	0.378576513	1.27546426	-0.616165301	L
3	FALSE	615	17	6434	Down	n	Could she button the jacket?	was	23	3	was	23	3	5	5	shoulders	45	9	1	e	Down	n	The blazer she bought was too small for her shoulders	42	Eng	3	s	The blazer she bought	The blazer she bought	The blazer she bought was too small for her	correct	"The blazer she bought was too small for her shoulders, so she returned it."	14	neut	232	232	232	232	0	232	0	1	3	E2_SCS2	30	46	0.652173913	0.677383892	-0.237824219	0.226026473	-0.616165301	L
3	FALSE	598	18	5015	Up	n	Did he get out of the car?	and	28	3	and	28	3	7	7	airplane	49	8	1	e	Down	n	"He got out of the building and started yelling \airplane\"""""	48	Eng	3	s	He got out of the building	He got out of the building	He got out of the building and started yelling	incorrect	"He got out of the building and started yelling \airplane\"" in the middle of a busy street."""	17	neut	187	187	187	187	0	187	0	1	3	E2_SCS2	30	46	0.652173913	0.385007444	-0.352919792	0.03007336	-0.616165301	L
3	FALSE	652	20	1964	Down	n	Did they examine them at the doctor's office?	they	18	4	they	18	4	4	4	testicles	36	9	1	e	Down	n	"Today at school, they examined the testicles"	31	Eng	3	s	"Today at school,"	"Today at school,"	"Today at school, they examined the"	correct	"Today at school, they examined the testicles of the children at the annual health checkup."	15	taboo	0	221	399	399	0	656	0	1	3	E2_SCS2	30	46	0.652173913	0.605914094	0.846631841	0.95323025	-0.616165301	L
3	FALSE	601	27	1527	Down	y	Did this happen in the street?	heard	13	5	I heard	11	7	3	4	handjob	43	7	1	e	Down	n	Last week I heard that Angela gave John a handjob	37	Eng	3	s	Last week I	Last week	Last week I heard that Angela gave John a	correct	Last week I heard that Angela gave John a handjob in the park.	13	taboo	360	360	360	360	0	360	0	1	3	E2_SCS2	30	46	0.652173913	1.509032457	0.089558742	0.783404219	-0.616165301	L
3	FALSE	605	34	2798	Up	n	Was he in a relationship when he got it?	gave	19	4	gave	19	4	4	4	motorcycle	30	10	1	e	Up	y	His ex girlfriend gave him a motorcycle	30	Eng	3	s	His ex girlfriend	His ex girlfriend	His ex girlfriend gave him a	correct	His ex girlfriend gave him a motorcycle in college.	9	neut	0	182	351	351	0	351	0	1	3	E2_SCS2	30	46	0.652173913	0.352521172	0.066539628	0.744213596	-0.616165301	L
3	FALSE	584	36	2006	Down	y	Did they read about this yesterday?	read	17	4	I read	15	6	3	4	show	30	4	1	e	Down	n	"This morning, I read about a show"	6	Eng	3	s	"This morning, I"	"This morning,"	"This morning, I read about a"	correct	"This morning, I read about a show that happened yesterday in our city."	14	neut	.	0	0	0	.	491	.	0	3	E2_SCS2	30	46	0.652173913	-0.829979131	0.424614742	-0.78422069	-0.616165301	L
3	FALSE	678	39	3012	Up	n	Did this happen after the training?	was	16	3	was	16	3	3	3	horny	25	5	1	e	Up	y	His girlfriend was very horny	1	Eng	3	s	His girlfriend	His girlfriend	His girlfriend was very	correct	His girlfriend was very horny after her usual workout in the morning.	12	taboo	.	0	0	0	.	0	.	0	3	E2_SCS2	30	46	0.652173913	-0.829979131	-0.831205837	-0.78422069	-0.616165301	L
3	FALSE	635	43	1307	Down	n	Was it on the train seat?	that	15	4	that	15	4	4	4	flour	30	5	1	e	Down	n	I could swear that there was flour	24	Eng	3	s	I could swear	I could swear	I could swear that there was	correct	I could swear that there was flour on the seat of the bus.	13	neut	162	162	162	162	0	162	0	1	3	E2_SCS2	30	46	0.652173913	0.222576083	-0.416861776	-0.078789481	-0.616165301	L
3	FALSE	577	44	3102	Up	n	Did Maria's mom find it in Maria's private space?	found	13	5	found	13	5	3	3	dildo	21	5	1	e	Up	y	Maria's mom found a dildo	25	Eng	3	s	Maria's mom	Maria's mom	Maria's mom found a	correct	Maria's mom found a dildo in her room.	8	taboo	0	211	371	371	0	427	0	1	3	E2_SCS2	30	46	0.652173913	0.54094155	0.260923261	0.831303869	-0.616165301	L
3	FALSE	600	47	1090	Down	n	Was he addicted for 5 years?	was	16	3	was	16	3	4	4	masturbation	32	12	1	e	Down	n	"In college, he was addicted to masturbation"	13	Eng	3	s	"In college, he"	"In college, he"	"In college, he was addicted to"	correct	"In college, he was addicted to masturbation for three years."	10	taboo	152	152	152	152	0	152	0	1	3	E2_SCS2	30	46	0.652173913	0.157603539	-0.44243857	-0.122334617	-0.616165301	L
3	FALSE	649	49	1500	Up	n	Did they go on a date?	that	15	4	that	15	4	4	4	cock	29	4	1	e	Up	y	I didnÆt know that he had a cock	43	Eng	3	s	I didnÆt know	I didnÆt know	I didnÆt know that he had a	correct	I didnÆt know that he had a cock that big until we went on a date.	16	taboo	163	163	163	163	0	163	0	1	3	E2_SCS2	30	46	0.652173913	0.229073338	-0.414304097	-0.074434967	-0.616165301	L
3	FALSE	507	37	2158	Down	n	¿Se le impidió ir a un viaje de negocios?	dijo	9	4	dijo	9	4	3	3	obligaciones	18	12	1	e	Down	n	Su mamá dijo que obligaciones	22	Spa	3	s	Su mamá	Su mamá	Su mamá dijo que	correct	Su mamá dijo que obligaciones le impidió ir al viaje escolar.	11	neut	.	0	0	0	.	172	.	0	3	E2_SCS2	30	46	0.652173913	-0.829979131	-0.391284982	-0.78422069	-0.616165301	L
3	FALSE	593	43	2884	Up	n	¿Estaba la venta en una tienda grande?	that	14	4	that	14	4	4	4	vibrators	28	9	1	e	Up	y	Me di cuenta that they had vibrators	33	CS	3	s	Me di cuenta	Me di cuenta	Me di cuenta that they had	correct	Me di cuenta that they had vibrators on sale in that big store.	13	taboo	224	224	224	224	0	355	0	1	3	E2_SCS2	30	46	0.652173913	0.625405857	0.076770345	0.191190364	-0.616165301	L
3	FALSE	587	44	1237	Up	n	¿Su bebé la lastimó?	bit	9	3	bit	9	3	3	3	finger	17	6	1	e	Up	y	Su bebé bit her finger	14	CS	3	s	Su bebé	Su bebé	Su bebé bit her	correct	Su bebé bit her finger and drew blood.	8	neut	150	150	150	150	0	466	0	1	3	E2_SCS2	30	46	0.652173913	0.14460903	0.360672757	-0.131043645	-0.616165301	L
3	FALSE	541	45	971	Up	n	¿Tenía pecas?	que	18	3	que	18	3	5	5	piernas	41	7	1	e	Up	y	Mi amigo me dijo que tenía pecas en sus piernas	10	Spa	3	s	Mi amigo me dijo	Mi amigo me dijo	Mi amigo me dijo que tenía pecas en sus	correct	Mi amigo me dijo que tenía pecas en sus piernas desde que era un niño.	15	neut	.	0	0	0	.	0	.	0	3	E2_SCS2	30	46	0.652173913	-0.829979131	-0.831205837	-0.78422069	-0.616165301	L
3	FALSE	524	51	2992	Up	n	¿Hablaban las tías tomando café?	estaban	10	7	estaban	10	7	3	3	menstruación	37	12	1	e	Up	y	Mis tías estaban charlando sobre la menstruación	29	Spa	3	s	Mis tías	Mis tías	Mis tías estaban charlando sobre la	correct	Mis tías estaban charlando sobre la menstruación mientras tomaban el café ayer.	12	taboo	0	177	382	382	0	382	0	1	3	E2_SCS2	30	46	0.652173913	0.3200349	0.145827689	0.879203519	-0.616165301	L
3	FALSE	509	52	1756	Up	n	¿Cayeron muchos de ellos?	yesterday	31	9	yesterday	31	9	7	7	cans	53	4	1	e	Up	y	"Cuando yo estaba en la tienda yesterday, a bunch of cans"	32	CS	3	s	Cuando yo estaba en la tienda	Cuando yo estaba en la tienda	"Cuando yo estaba en la tienda yesterday, a bunch of"	correct	"Cuando yo estaba en la tienda yesterday, a bunch of cans fell from a shelf."	15	neut	348	348	348	348	0	348	0	1	3	E2_SCS2	30	46	0.652173913	1.431065404	0.05886659	0.731150055	-0.616165301	L
3	FALSE	595	54	2350	Down	n	¿Olían así durante el festival de cine?	olían	12	5	olían	12	5	3	3	meo	20	3	1	e	Down	n	Las calles olían a meo	11	Spa	3	s	Las calles	Las calles	Las calles olían a	correct	Las calles olían a meo durante el festival de primavera.	10	taboo	218	218	218	218	0	218	0	1	3	E2_SCS2	30	46	0.652173913	0.586422331	-0.273631731	0.165063282	-0.616165301	L
3	FALSE	530	59	5444	Up	n	¿Vieron la película la semana pasada?	el fin	23	6	el fin	23	6	5	5	erótica	51	7	1	e	Up	y	La película que vimos el fin de semana pasado fue erótica	35	Spa	3	s	La película que vimos	La película que vimos	La película que vimos el fin de semana pasado fue	correct	La película que vimos el fin de semana pasado fue erótica de principio a fin.	15	taboo	.	0	0	0	.	188	.	0	3	E2_SCS2	30	46	0.652173913	-0.829979131	-0.350362112	-0.78422069	-0.616165301	L
3	FALSE	520	61	3159	Down	n	¿Estaban junto a la nevera?	talking	8	7	talking	8	7	3	3	government	22	10	1	e	Up	y	Los oí talking about government	26	CS	3	s	Los oí	Los oí	Los oí talking about	incorrect	Los oí talking about government by the refrigerator.	8	neut	244	244	244	244	0	460	0	1	3	E2_SCS2	30	46	0.652173913	0.755350945	0.345326681	0.278280637	-0.616165301	L
3	FALSE	547	62	3992	Down	n	¿Ha estado la marca allí durante una semana?	big	10	3	big	10	3	3	3	buttock	25	7	1	e	Down	n	Tengo un big mark on my buttock	15	CS	3	s	Tengo un	Tengo un	Tengo un big mark on my	correct	Tengo un big mark on my buttock from yesterday.	9	taboo	.	0	0	0	.	272	.	0	3	E2_SCS2	30	46	0.652173913	-0.829979131	-0.135517044	-0.78422069	-0.616165301	L
3	FALSE	444	63	2198	Up	n	¿Lo oí ayer?	oí	8	2	oí	8	2	2	2	palmoteo	14	8	1	e	Up	y	Anoche oí un palmoteo	4	Spa	3	s	Anoche	Anoche	Anoche oí un	correct	Anoche oí un palmoteo del apartamento de mi vecino.	9	neut	.	0	0	0	.	565	.	0	3	E2_SCS2	30	46	0.652173913	-0.829979131	0.613883017	-0.78422069	-0.616165301	L
